id,kda_ratio
3_53,2569.525146
287_53,2000.157715
884_53,2422.54541
1181_53,1969.012695
1578_53,2634.547852
1751_53,3733.6604
1812_53,2616.683594
2068_53,2564.624023
2812_53,3828.153076
2913_53,2739.804199
4_17,3789.013428
73_17,4268.785645
167_17,3367.515869
179_17,4820.918945
191_17,4562.692871
253_17,3246.776611
325_17,3771.271729
387_17,3058.723877
612_17,3670.739746
734_17,3019.659424
942_17,3627.586426
1042_17,3159.72998
1045_17,3936.393311
1088_17,4119.1875
1110_17,3887.980713
1642_17,4129.776855
1712_17,4370.14502
1725_17,3467.000732
1766_17,4403.009277
1889_17,4671.925293
1923_17,3706.571533
1967_17,4554.116699
2117_17,3833.000488
2163_17,2965.511719
2164_17,3126.936279
2199_17,3509.0354
2253_17,3755.162842
2267_17,4696.071777
2269_17,3599.412354
2424_17,3847.229248
2449_17,4118.725098
2510_17,3611.101318
2520_17,3401.822998
2527_17,4303.942871
2672_17,4461.47998
2730_17,4298.720215
2825_17,3701.684326
2906_17,4161.090332
2912_17,4232.664063
9_51,2708.456055
351_51,3283.071533
1033_51,3323.704834
1116_51,2732.259521
1222_51,2853.908447
1629_51,2411.835205
1737_51,4343.277344
2489_51,2590.937256
2714_51,3362.307373
2844_51,3757.328857
10_54,4382.402832
245_54,3921.96167
897_54,4062.775146
1601_54,4160.509277
2315_54,4301.931152
2462_54,4374.129395
2889_54,3857.14917
15_74,4881.628906
35_74,4031.428223
162_74,2877.654297
195_74,4734.944824
240_74,3512.885254
242_74,3150.12915
252_74,4072.638916
266_74,3894.37085
272_74,3946.076416
407_74,3404.638428
655_74,3673.516357
736_74,3766.014404
803_74,3332.072021
877_74,2577.123779
910_74,3743.564941
969_74,3278.72583
1008_74,3535.354736
1023_74,3810.291992
1038_74,4211.739746
1114_74,3447.012451
1140_74,3893.872803
1253_74,3320.724854
1264_74,2784.98999
1310_74,5016.591309
1324_74,4809.52832
1329_74,3738.705566
1499_74,3152.435791
1599_74,3401.64917
1688_74,3740.378662
1695_74,5477.255371
1760_74,3084.297119
1857_74,3047.846924
1920_74,4316.818848
1954_74,3883.775146
2051_74,3990.140625
2060_74,4386.491211
2138_74,6450.102539
2377_74,3652.195557
2429_74,4501.390625
2457_74,5050.201172
2616_74,3812.356445
2639_74,3588.087158
2752_74,3626.72168
2818_74,4054.443604
2836_74,3373.946045
2954_74,4102.001465
19_38,2992.795654
1223_38,2434.147217
